,reviews
1251,review   london gatwick to funchal in my opinion british airways have got things badly wrong in the race to the bottom for travellers in economy ba are now just another budget carrier and not a very good one at that they have failed to understand what their true market is all about generally if people want to use a cheap budget carrier they will use the likes of ryanair or easyjet the ba brand has always been associated with the quality that a full service airline provides but sadly not any more the choice of food for sale to the economy passenger is not only poor but its expensive frankly it must be embarrassing for the cabin crew to make announcements saying that the business class passengers will be offered a hot meal and free drinks but all those in economy must pay and that assumes that from the enormous range of 2 types of sandwich on offer that there will be any left on our flights to and from funchal there was a single trolley for the entire economy cabin in each case taking more than 2 hours to make it from the front to the back service could only have been any slower if the crew were trying to sell scratch cards along with the overpriced food and drink maybe thats in the next part of the ba master plan british airways used to be a national carrier to be proud of but these days they are just an embarrassment not a full service airline or a decent budget carrier simply lost somewhere in the middle as a fairly regular traveller of many years my preference would always been to travel with my national airline but this race to the bottom is driving me away dont ba management understand that there are many people who would gladly pay a little bit more for free food and drink sadly i think we know the answer all we need now is a bugle playing as the plane touches down and the sad transition from world class carrier to poor budget imitator will be complete
1252,review   zakinthos to london heathrow poor check in at zante airport not enough desks slightly clueless staff mrs b had to deploy laser beams to get front row which was free slightly late departure and made to wait on hot bus for while before boarding after that very good flight again much busier club cabin than on way out so two staff but they were still very attentive beetroot carpaccio with goats cheese melt in mouth ox cheek poor desert again again the crew were really good about helping my nervous wife with the female copilot coming out to chat not left wanting the whole flight a bug bear on both flights were the economy passengers using the club toilet at will this kept disrupting the cabin service and made my little one nearly have a problem because of the extra queues one pays more for more toilets kids in dire need ok adults no time made up almost t5 quite quick again so another good experience for us with ba cheers
1253,review   flew british airways from belfast city to london heathrow first time i flew from belfast and its a great little airport i had access to the ba lounge which for such a small airport is pretty good it was an evening flight and there were a decent choice of cold sandwiches including chicken smoked salmon egg etc the bar was well stocked including fever tree tonic and grey goose vodka champagne was available on request due to a flight delay our plane did not depart from the air bridge but at gate 6 but we could access this gate using stairs from the lounge this was managed well as we were given priority boarding before general boarding was announced in the main terminal the flight was probably at 30 capacity so the fa had no problems serving passengers the flight was delayed by 30 minutes but we made some time and was at the gate at heathrow 20 minutes late this was a last minute booking for business and was pretty expensive at 343 return but as a gold member i got most of the business class benefits
1254,review   toronto to london heathrow and was very pleasantly surprised ba lounge in terminal 3 at pearson is small but quiet compared to others great window seats overlooking tarmac separate meal service area prior to flight allowed me to focus on sleep during this redeye that left at 2200 meal in lounge was buffet style but had a really good made to order noodle bar drink choices perfectly adequate staff very helpful and cordial flight left half an hour late but made up time and landed early cabin staff were extremely friendly and helpful the seats must be the most talked about issue for ba club world they do indeed pack them in compared to any other business class flight i have taken that said seats fully reclined i had no issues with faulty equipment and it was very comfortable aside from takeoff and morning meal service privacy screen never came down between me and fellow traveler cost of flight was 3050 less than other business class options available to me so with this in mind experience was very good as a side note connected on to madrid and ba lounges at lhr are fantastic w
1255,review   london heathrow to zakinthos from parking meet and greet to inside the lounge via bag drop security and three shops took only 50 minutes boarding on time greeted warmly managed to grab the front row at online check in from take off the purser looked after the business cabin brilliantly drinks and nibbles out sharpish and refreshed without asking meal served quickly carpaccio of melon with a prawn miso cod not overcooked wasabi mash and veg average dessert and cheese and crackers wine topped up regularly coffee in a mug all through the flight staff looked after my nervous flyer wife and little four year old with great care and attention as well as the rest of the cabin priority offload and separate bus to terminal fairly quick passport control and bags coming onto the belt as we got through the crew had been very kind and chatty with us and in good humor apart from delay in leaving heathrow fab
1256,review   london to vancouver i booked our trip with them as the price was unbeatable our outward flight to vancouver was delayed by approx an hour we were seated on the top deck and i was impressed by the room we had windowaisle and 3 middle seats the crew were great with our young sons offering them extra drinks pillows etc food was ok the kids mac cheese was better than the adult meals entertainment was good and flight was smooth most of the way on our return flight we again had a delay of about an hour but 45 mins of that was made up thanks to a strong tail wind again we were on the top deck and it was so quiet up there it was lovely food was again just ok we had an incident where my son spilt a bottle of fanta all over himself midflight when everyone was asleep he was drenched and i had no spare clothes for him i spoke to a wonderful member of crew who couldnt be more helpful she found some first class pjs for him to change into and gave him a couple of extra goodies and she checked up on us a few times after that commenting how good he had been throughout the flight she really made what could have been a stressful situation much easier and her positive friendly attitude really helped me out i was pleasently surprised by ba on both legs of our journey and i wouldnt hesitate to book with them again just a shame they cant up their game food wise
1257,review   london to sao paulo an exceptionally ordinary flight both for good and for bad cabin crew were disinterested  i was made to feel intrusive when i asked at the galley for a glass of water between dinner and breakfast service  something id never felt before i felt somewhat snubbed when after asking for help being short loading my exitrow hand luggage into the ohls the fa took heed of an older woman telling him her bag had two tablets in and is fragile so should be stacked on top of mine and didnt bother to ask me about the contents of my bag  my laptop speakers havent worked since i slept through dinner service but was awake for the standard disappointment of a breakfast a continentalcharcuterie option would go down a treat on this route i imagine but we had a choice of flaccid english breakfast or flaccid omelette my first ba economy flight after travelling longhaul in premium economy and club cabins i can see why this is the bargain fare but still better than several competitors i felt safe we arrived early the crew were for the most part friendly whats more to ask for
1258,review   i had a return flight to istanbul in club europe staff were usual ba quality however flight experience was awful club europe section with no leg space there was no inflight entertainment lounge in istanbul probably one of the worst i have been to drinks some cakes and pastry  nothing else i am sorry to see that british airways become a budget airline
1259,review   on a flight from bangkok to london and youll have some locals and holiday makers that wish to have a taste of thailand in their meal choices first meal service has thai green curry veg and the second thai red curry chicken really no one could come up with two thai dishes that were a little bit more different so the meal service begins and i was going to have the chicken satay starter and main course salad with grilled prawns unfortunately the chicken satay dish has been replaced by a prawn dish which turns out to be every ingredient from the chicken satay apart from the chicken and obviously with prawns  i said i dont want the prawns for starter as im having the prawn main meal i should not have worried as the prawn salad was off  ok so prawns for starter and ill have garlic herb crusted chicken breast with onion sauce mashed potatoes mushroom spinach and tomato well im not sure how they did it but the potatoes were disgusting to the point i wasnt eating them the chicken breast was dry and i got no hint of herb or garlic or chicken to be honest and the onion sauce could not save it even if there had been enough of it mushrooms were very meh tomato and spinach were fine but all in all inedible the bread roll didnt win any prizes either i just gave up and refused to eat it now when this was served id been drinking rose champagne and wanted a glass of chardonnay but the fa was off too quickly no problem press the call bell which is reset before anyone comes press it again and think id better get on with eating my food eventually some one arrives and notices im not eating my main course and after i tell them it is disgusting i ask why no one has answered my call button obviously im just asked what did i want and i say it was the wine but it is a bit too late now and ill have port instead as cheese and crackers will be my next choice this does not appear for fifteen minutes during that time i am offered the vegetable thai green curry to replace my inedible main but that isnt going work for me so a couple of hours later im a bit peckish and go to raid the club kitchen where i find some quite pleasant snacks back at my seat i think i need a gt with this but ten minutes later no one has arrived or even been in our cabin there is no one in the galley galley between the two club world cabins and indeed no member of staff in the larger cw cabin i do find one in the second galley i ask and my call button is tested and appears to be working but three times ive tried to use it and been ignored bad service now on to the second meal service strangely there appears to be no choice unlike stated in the menu i ask the fa about this but am just told everyone is having the same no explanation the starter turns out to be smoked salmon with a wasabi dressing the dressing is tasteless but salmon is fine now this is a pity because my choice of main was going to be a meze that had smoked salmon as a major part and now i have to choose again ok main meal im give a choice of smoked salmon again or red thai curry so no choice really and i decide to give up and go to a restaurant when i disembark just not recommended at all
1260,review   flew rome to london gatwick big disappointment i paid 180 to fly with british airways just for one way and the plane was delayed two hours and 41 minutes because of late arrival of another aircraft instead of arriving at 2130 we landed almost at midnight no refreshments were offered nothing the customs queue was massive i got home at 300 in the morning i decided to pay extra for ba instead of flying ryanair and it was a huge mistake even the air conditioning in the plane whilst still on the ground did not work ba is not worth the extra money staff did not speak a word of italian
1261,review   having flown first class from london to cape town and club back from johannesburg i have really noticed a significant downgrade in ba service and standards compared to premium flights i have taken in previous years the seats in first had crumbs on them on arrival in club there was sticky stuff on the arm rest which hadnt been cleaned on the return club flight in particular the purser told us on the tannoy that staffing levels were low so service would be slower on 3 occasions i had to ask for a gt eventually i only received it by going to the galley it was made clear by the staff that they resented my interrupting their jokes and conversation food in club was average first lounge in t3 not great sole elemis spa person decided to take an hour off from 18401940 leaving a scribbled paper sign saying back in an hour which wasnt helpful given several long haul flights were leaving at 9pm when i tried to book an appointment on her return she told me she was busy and full whilst checking facebook on her iphone in terms of hard product the club seat just doesnt compare with rivals any more its way too narrow and storage space is dire these flights were miles burn i wont be accruing more avios with ba
1262,review   london to milan having read about bas cut backs on service i approached my flight with slight trepidation i was not too disappointed though the flights were smooth and left on time seating fairly comfortable consider is was a 80 minute flight preboard and on board announcements were efficient and informative the downside however was the in flight food and drinks service which was in disarray although ba on european routes have also opted for charging for virtually everything that low cost carriers do i still expected some efficiency it was tediously slow with the attendants pacing up and down the isles to get an item not in the trolley the glossy ms menu looked good but too laborious to get some food and pay for it with some families split up paying for items took longer with some getting impatient and noisy by the time the trolley reached the back of the aircraft the descent had already begun it is a shame that our national carrier while giving the illusion of a quality airline is anything but come on ba get your act together or at least like a quote i once read we are like british rail love we may be late but were getting there
1263,review   london heathrow to bucharest a full flight both ways to bucharest using a a321 boarding in london was efficient and orderly the boarding in bucharest was more akin to a rugby scrum any sense of control by ba went out of the window the plane was clean but the interior was tired and the seating rough around the edges there was no usb ports or entertainment which makes for a long 3 hours the ms meal service worked well flying out of london but less so returning food inventory must have been limited on departure as must products quickly sold out leaving a selection of drinks and crisps also the ba cabin crew are still learning how to take payments quickly and efficiently which slows the process down too
1264,review   london heathrow to bologna i have given a decent score overall as both of our flights were on time and got us and our luggage safely from a to b for a competitive price the planes were clean and modern however like many i do feel sad that the service on ba has been downgraded so drastically the buy on board scheme is a bit chaotic and on the flight out the trolley only reached us about 15mins before landing its hard to say it is so slow other airlines are much more efficient the crew were very pleasant but there is limited chance for interaction as the buy on board takes most of the flight i thought it was quite poor that no announcements or communications were made on either journey in italian to be honest there was nothing to distinguish this flight from those i have taken with easyjet so now will make my decision purely based on price rather than any loyalty to a particular airline
1265,review   london heathrow to keflavik was a good experience club europe cabin was not really a business class cabin but economy with the centre seat converted into a table other than a lack of leg room and reduced seat recline the cabin was fine the meals served was very good with a simple starter decent hot main course and tasty dessert there was endless drinks and hot drinks available during the flight the senior cabin crew looking after the cabin were very good and could not do enough for you the cabin was clean in both directions boarding the plane both in london and keflavik was straightforward
1266,review   larnaca to london heathrow despite being an executive member and booking seats 9 months before on most flights my last 3 flights i have had my seats changed last time my family split up despite booking row 10 last september had this have been a one off then i wouldnt mind so much but this is the third time in 6 months i have called ba and even emailed social media team even at the airport i tried to rectify the situation but no one interested or even prepared to tell me why the service and attitude of ba now is shocking since alex cruz came in the airline has gone downhill so fast its hard to believe
1267,review   san jose to london gatwick return the outward flight was delayed for an hour at san jose due to poor weather but the pilot kept passengers informed of the situation at regular intervals on the flight i was lucky enough to have two empty seats alongside my aisle seat as the man in the seat directly in front of mine reclined his seat fully as soon as we took off making it impossible to hold a book at reading distance and then jiggled and bounced as he watched the ife  it would have been a miserable flight without a seat to move along to the cabin staff were friendly and efficient and did not disappear after the meal service but answered passengers calls and made the rounds with water and fruit juice the food was of good quality so it was despite the delay a good experience on the return boarding was swift and efficient and the cabin staff once again friendly and helpful food not as interesting as on the outward leg but perfectly acceptable i usually try to take a cheaper flight involving connections but this direct flight was well worth the extra expense
1268,review   london to keflavik british airways lost one of my bags on our way to iceland for a week long vacation this is understandable bags get delayed all the time however when i attempted to contact british airways concerning my delayed bag and to ask for help with getting a hotel room i was disconnected multiple times and given contact numbers that turned out to be fax numbers the delayed bag contained our sleeping bags and tent for a one week camping trip not knowing if we could be reimbursed for a hotel and seeing that hotels in iceland cost upwards of 200 a night we were forced to sleep in our rental car until the next day when we were able to rent a tent since making my claim for reimbursement british airways has done everything in their power to avoid reimbursement i have been told my partner who purchased the tickets must fax written permission for me to handle the claim even though the baggage was under my name paid for by me and all costs for tent rental and toiletry items were paid with my credit card it is shameful that a company can operate this way and treat people so poorly i urge you to avoid at all costs
1269,review   tokyo haneda to london heathrow this was the return leg of a code share flight with jal i flew jal on the way out and the service was superb and meals delicious on my return i felt embarrassed that ba is our national airline mainly due to the absolutely abysmal meal quality white fish consisted of 3 tiny pieces of fish surrounded by a brown fatty unidentifiable flavourless mass the tiny token broccoli was a greenish brown mush service was efficient bordering on perfunctory luckily we brought some other food on board please ba either do away with long haul meals altogether as mooted and declare your budget airline status or serve more appetising less embarrassing fare you cant stay stuck in the middle for long
1270,review   absolutely appalling airline would definetly not recommend flew rome to london heathrow compared to the likes of qatar emirates and qantas they do not come close i will never travel with british airways again flights delayed from london to rome by over 1hr between 2 captains they could neither take off or land smoothly in perfect conditions the food is shocking and over priced the planes are out dated there stewards and stewardesses are rude and unprofessional compared with the professionalism of other airline staff
1271,review   amsterdam to gatwick check in was easy thanks to fast help from the checkin desk the staff at the gate were friendly and ensured boarding did not take a huge amount of time the welcome on board was exceptional however the cabin crew service was quite regular for the remainder of the flight ie nothing exceptional or poor the seats looked very appealing but the seams at the point where the upright and horizontal parts of the seat meet are out of line and make it slightly uncomfortable to sit on after a while this is a great shame for a good looking cabin we took off twenty minutes after the intended time due to a late start to boarding and an extended taxi time however the pilots did a great job in keeping us informed to the reason for the delay and the current progress in making up the lost time overall the flight was pretty regular from ba but the good ground staff useful information as of the delay and friendly cabin crew made it a good service
1272,review   flew zurich to london heathrow i have flown 14 times with british airways in the last 5 months ive seen a noticeable degradation of service flights are frequently late or cancelled and the staff are worn down they were once smart and full of energy sadly they seem to have lost their pride a huge shame
1273,review   new york to cape town via london heathrow a huge disappointment even worse when you put it in context of what british airways used to be we decided to fly first  because i cant stand club world backward seats forward facing seats almost on the aisle  claustrophic poor overhead storage on some planes seats were  narrow poor seat controls unable to independently control the different seat axes foot rest had to be set manually american airlines and cathay pacific new business class products are far better than ba first class avod great on one leg with the new pansonic system dreadful on the 2nd leg with the old system  food was mediocre at best breakfast jfk to lhr was passable dinner lhr to cpt passible  wifes fish was okay my hamburger was inedible meal service slow cabin crew from jfk was excellent to cape town was passable changing planes in heathrow t5t3 a nightmar i am oneworld emerald never again
1274,review   managed to get upper deck which is rare flying from london to philadelphia cabin was unclean with earbuds and paper on floor from previous flight no hello for gold status it became clear british airways are some sort of work to rule one stewardess for all upstairs three hours to serve dinner which was bland and tasteless cabin service director never appeared once despite my tv screen refusing to stay in open position never ever again will i pay thousands of pounds for bland insulting service
1275,review   florence to bristol a positive first experience and i will try to fly ba in the future when i booked the flight for myself and my 11 and 13 year olds i was automatically allocated seats no charge 23kg of checked luggage included at no additional charge yet the flights still worked out the cheapest a few hours before the flight during online checkin i noticed my daughters name mispelt on the ticket i telephoned bas 24 hour helpline and the ticket was changed and reissued within an hour and i received a call back with an update part way through the process no charge and no hassle all staff from customer services to ground staff to inflight crew were friendly staff on the return flight went out of their way to try and help a young mum with an upset child we were given a meal with water and a further drink on our 2h 20m flight on this flight to bristol everything is included in your ticket we had soft drinks but a couple infront had gts our meal was salmon with couscous bread cheese and a mint on the way back there was a choice of falafel and couscous or chicken salad with a chocolate brownie the meals were actually really nice both our flights did depart late for different and what i believe were unavoidable reasons but we were given adequate explanations and our flight out to italy still arrived early some explanation before boarding the return flight might have been helpful although nobody seemed concerned and it was passengers who hadnt got themselves to the gate that further held the flight up i wasnt bothered which airline i flew with my criteria were that i could fly from a local airport as cheaply as possible and ba came in cheaper than any of the other airlines for this particular flight my criteria will still exist but i will certainly be looking at ba first in the future
1276,review   salzburg to gatwick awful experience flight delayed due to operational reasons but this is forgiven as these things happen and ba handling in salzburg did apologise for the delay once boarded with a full flight there were 4 crew members 2 to serve club with about 8 passengers and 2 to serve about 120 or more economy passengers usual fight for bag space i was desperate for some water and asked the crew can i buy some water as they dragged the trolley to the front of the cabin i am in seat 23c right at the back i am told no i have to wait for the trolley i wait and wait and as we fasten our seat belts on descent to gatwick the trolley gets to seat row 20 the 2 members of crew are still struggling to take card payments and tell row 20 that the service is now closed and pass the trolley back to the behind galley all this as the csd stands chatting in the club galley with the other crew member 14 of cabin not given the chance to even buy a glass of water in a 2 hour dinner time flight no smiles from crew as busy doing math on what they are selling not even a flight map to help pass time terrible airline a national disgrace worse than any budget carrier with high prices and terrible customer service  i am only rating this as 210 as they got me from a to b safely
1277,review   nice to london heathrow you must downgrade your rating of british airways if you truly reflect how bad things have become flight delayed that happens i accept but the ba ground staff handling was awful  to the point of zero in reality once boarded and fighting for overhear bin space pilot did give a polite and nice apology but the cabin staff service that has always been their stronger point was terrible aside from the fact 2 stewards smelt as if they had poured a complete bottle of aftershave over their heads most unpleasant in a confined space their service to us lowly passengers was condescending and rude they seemed intent with making stupid faces and snide comments about some passengers in full hearing of many of us and that is just not acceptable sadly they were almost stationary in the aisle trying to sell food and drinks and we had to suffer long periods of such rudeness ba management should be fired or at least the ceo mr cruz who is destroying our national airline im not a grumpy old man just a customer with over 50 years experience of flying british airways and boac and bea and a direct witness to the demise of what was a great airline
1278,review   athens to newcastle via london another miserable experience woken at 7am by text to say 1330 flight to heathrow cancelled for operational reasons  phone numbers listed to rearrange one not open till 9am gmt the greek one no longer in use website also useless we are experiencing technical difficulties  try again later 2 stressful hours later managed to get rebooked onto much later flights  but downgraded on both sectors still not happy that i was involuntarily downgraded on my last ba flight at easter athens used to have a great ba lounge now its provided by someone else for varied airlines and was pretty grim partly because it was filled with numerous disgruntled passengers also downgraded from the cancelled flight flights adequate but no different really to service of any budget airline crew apologetic about situation but clearly feel they have no voice in bas direction athens ground staff were superb in dealing with unhappy people  albeit unable to say much other than to apologise and say make sure you complain  claim ba are lucky to have such brilliant front of house staff and cabin crew  without them id have already deserted still waiting for any response from airline re eu compensation  downgrade almost 2 weeks after submitting forms  emails this could surely be automatic managed by most us airlines and contrasts with a recent air france experience of far more trivial nature where within 24 hours id received a voucher and a personal apology
1279,review   london heathrow to paris orly terminal 5 busy lounge was ok but kids area t5 north limited we had to take our youngest downstairs aircraft was ok but could have been cleaner lunch was ok for this short sector in summary all was ok however we really do expect more in the premium cabins it is with regret that i have to admit that i have booked our next longhaul business class flight with another provider ba will not retain their premium clients if they continue with their current model i am sure that those who use point etc will remain loyal however those of us who pay their hard earned cash for club world will begin to take their business elsewhere its not this particular flight thats at fault more a general trend downwards
1280,review   toulouse to london heathrow this airline will one day get its comeuppance for posing as a quality flag carrier it has to be said no expense is spared on its branding while operating as a cheap and sleazy budget airline thanks to the rationale of its greedy and cynical new management i have bronze status with ba executive club have flown a dozen times over the past year both in business and in economy and am increasingly irritated with myself that i chose to collect points with this particular airline i was caught up in the it meltdown in may flying from rhodes to london and i was one of the lucky ones who doesnt remember those surreal news reports of passengers stranded all over the world for 4 days i had to purchase a new ticket on a charter flight from rhodes airport when my flight was cancelled along with hundreds of other ba flights in may this incidentally ghastly tui replacement flight arrived so much later than the flight i booked that i lost my prepaid hotel booking at the airport which the airline refused to refund when i lodged a claim the airline only refunded me for my cancelled flight and my new flight along with eu compensation after i sent a second email a month after my first claim as they simply neglected to raise a cheque for me according to the customer agent their customer service is beyond atrocious i suspect they swear company oaths never to genuinely apologise for ba failings all you get is bear with us were trying really hard lest actually saying sorry should incur legal liability i am unfortunately due to fly with them again at the end of the month to belfast and after two calls to their contact center based in india with a poor connection and amateur communication overall still do not know if my travel companion will be allowed to travel on a domestic flight as a canadian citizen without a uk id document the customer agents i spoke to gave me contradictory answers which in turn run contrary to the almost nonexistent information provided on their website on the flights i have booked which have actually taken place i have by turns found myself stuck along with fellow passengers on the tarmac for an hour and a half in bdx when the plane lost its takeoff spot having waited for delayed passengers would they admit this was their fault nope it was all air traffic controls fault been held on the tarmac in tls for an hour whilst they sorted out luggage which had mistakenly been put on our plane retrieved a used bottle of rancid baby milk from my club seat no apology from the flight attendant who seemed annoyed at having to handle it sat in a seat totally encrusted in potato chips apparently used as confetti by a previous passenger and found myself wedged between totally drunken and abusive passengers in club and a scolding flight attendant threatening to have them arrested on arrival as i mentioned i have been one of their luckier passengers
1281,review   london city to dusseldorf return flights operated on behalf of ba by eastern airways the cabin was clean on both aircraft and the check in and wait at the both the airports were reasonable however then the good part of the trip ceases cabin crew must of been members of the basil fawlty school of catering the outward flight there were 3 passengers in the business class cabin and the onboard menu was handed out to the three of us the young stewardess took our orders then we heard a crash as the young stewardess promptly dropped one of the meal and told us that the aircraft only had two meals and asked for a volunteer to give up their meal the meal was of a reasonable quality and well presented on arrival at dusseldorf the aircraft was parked at a remote stand and we were taken by bus to the wrong terminal the arrivals boards in the airport say terminal b and we were dropped off at terminal c our delivered to terminal c and we had to walk to terminal b if you were been met the return flight was another example of the sub standard ground handling agents that ba is becoming famous for at overseas airports check in did not open until 90 minutes before the fight to lcy and 2 hours before the flight to lhr i can see that this was a money saving wiz by the ground handling agents at dusseldorf as the flight to lcy may only have max 100 pax and they would of been able to see the flight loading the day before the check in staff were reasonable and two were very smart only to be let down by the young female on club europe who was tattooed and had a slightly outlandish hairstyle which looked totally out of place in uniform the flight again seemed to have catering problems in business class with 6 pax and only 3 meals which meant that 3 passengers were offered a so called ham  chasse croissant which looked if it had seen better days again the cabin crew fell below the standard expect on budget airlines such has wizz and ryanair in fact they have better staff than eastern airways so these crews maybe the one who have failed these airlines selection process  i was disgusted with the lack of professionism and customer service skills these crews displayed on arrival at lcy it become apparent that the ground handling agents at dusseldorf had failed to load all the bags for the flight and left somewhere in the region of 8 passengers case behind the handling agents at lcy could not be bothered to take a proactive approach to ensure the bags followed on the next flight i did phone on monday evening and a gave more details of the contents of the case to them which they did update on the system this morning i spoke to a member of senior management at dussledorf airport about 4 hours after this call the bags had been found in the baggage handling area at the airport they will be put on the late flight tonight which means i will get it nearly 4 days after it became missed it is a pity that we cant review the ground handling agents at airports as no they would have to have to let negative results be posted
1282,review   what is happening to british airways flew vancouver to london the a380 has to be my favorite long haul aircraft but ba is definitely not cabin crew were friendly and professional despite not being a full complement of crew several dishes were crossed off the menu apparently due to ongoing dispute why food was inedible the worst i have ever been served on a business flight the seat configuration is outdated blankets threadbare and pancake thin pillows the constant cost cutting by their management is now laid bare for all to see they need to spend some time on a singapore airlines aircraft to see what business class really is bas golden years are well and truly over it will take a miracle to bring them back
1283,review   johannesburg to london heathrow premium economy very spacious with 38 inch seat pitch very good ife the 2 crew serving this section were excellent polite engaging and fun amenity kits appreciated chicken curry was delicious my brother and fellow traveller both advised their steaks were the best they had eaten on an airline impressed with warm bread rolls plenty of wine did not eat breakfast negatives being toilet and galley noise behind last row 38 elderly cabin 8 abreast seating on boeing 747 compared to 7 abreast on the a380 outward from london to johannesburg the upperdeck premium economy cabin on a380 is very personal and much more spacious and quieter than on boeing 747 aircraft nice wide selection on ife once again excellent young and polite crew beef steak asparagus dinner and orange chocolate dessert was delicious negatives being inedible cold hard bun prior to landing in jnb although hot breakfast was offered which i didnt partake in overall a very good experience and would recommend ba
1284,review   flew oslo to philadelphia via london was extremely disappointed with business class on british airways the flat beds were very narrow and im only 411 and weigh 100 lbs and therefore not very comfortable the lunch served beef entree was inedible except for the tomatomozzerella starter the cheese and the dessert i had wanted shrimp salad but was told it was unavailable afternoon tea was better but certainly not stellar the socalled warm scone was stone cold and the sandwiches were still very cold from being refrigerated i had asked for both a diet coke and an apple and the steward forgot both requests
1285,review   london to warsaw i have not flown with ba within the eu for a while and decided to take this chance to fly with them on a trip to poland i had paid more than gbp 260 for a return ticket and had no free food services whatsoever you need to pay for your food on board if you decide to go on a cheap marketing promotion please lower your ticket fares down more in line with easyjet or ryanair
1286,review  athens to london with british airways to call this business class is some sort of mean spirited joke to start with british airways lounge is provided by skyways which as jammed with both people and a bad assortment of food the actual seat 3d had no power plugs and no tv at the front of the seat what you find in economy in canada the seat width was narrow and the pitch was pathetic flying premium economy on cathay pacific is dramatically superior the flight from heathrow to athens was on a very beat up b767 on aug 4 2017 the food on this flight was both minuscule and horrid it is amazing that they can attempt to call this level of service business very disappointing
1287,review   cairo to montreal via london 7 days im waiting my baggage absolutely no information from british airways customer services in india and they cut off conversation often no contact with british airways you paid full price for a low cost service absolutely no customer consideration heathrow is a nightmare for baggage
1288,review   london to chicago i am a ba gold member and reserved three ba business class tickets to chicago returning from denver i selected contiguous seats so that my young daughters and myself would sit together a week before departure i received a message from ba informing me that our flight was cancelled and that we were moved to an earlier flight on the same day on the departure date we checked smoothly at the business class counter at lhr the fast track boarding pass reader let us through without a problem the lounge attendant however curtly dismissed us as having economy class boarding passes i checked and it was true but i had not suspected it at all till that point since i had paid for business class believed that everything was in order and was not told otherwise at checkin the customer service agent at the lounge told me that there was nothing he could do since it wasnt him who downgraded the ticket i spoke to the manager who apologized and tried to search for seats on subsequent flights but they were all full he could not confirm if ba had any intention of compensating us for the downgrade he had no explanation for why ba did not give us any other option with business seats despite canceling the flight a week in advance nor did he acknowledge that ba had made any mistake in this ordeal however he did contact the crew and informed them of the situation we ended up traveling in economy class to add insult to injury the airline was unable to place us next to each other so the family was split seven rows apart however the crew was nice and allowed us to leave the aircraft first they almost seem to work for a different company when compared to the incompetent ground staff
1289,review   nice to london heathrow i had to fly to nice and back for work booked through the company travel agency extra bag added both ways i wanted to fly back to lhr earlier so my travel agent rebooked the earlier flight at a cost of 371 gbp when i arrived at nce the ground staff refused to acknowledge the extra bag saying that it was for the earlier flight i stood my ground but the head of check in told me if i wanted to fly i had to pay 75 eur which i did under duress i had prebooked my seat as silver to find out at the gate that it had been changed to a middle seat which i loathe as the 767 is claustrophobic i asked for my bags to be offloaded and i would travel on the next flight as is my right to do so there was a standoff at the gate  the trend for ba in their spiral to the bottom is to outsource check in staff who have no comprehension of the ba system combined with an arrogant ignorance that means i will not be choosing this airline again i have one more flight with them next week and thats it i paid almost 1100 pounds to get to nice and back today in economy i was greeted with disdain by ground staff the crew on board were utterly miserable as they get to grips with the fact that they are now a junk airline who despite the high prices have the audacity to charge 7 pounds for a gin and tonic aircraft are tired and worn toilets stink please do yourself a favour and book someone else
1290,review   london to doha my flight got cancelled due to cabin crew strikes i had no choice but to fly on this day due to work commitment the class i had booked was not available on the alternative qatar airways flight and british airways refused to upgrade me so they could only downgrade to economy  i would rate british airways way below the normal standard of customer satisfaction
1291,review   paris cdg to london it is difficult to find anything positive to write about ba flight delayed not their fault but for nearly an hour the staff didnt communicate or interact with the cabin they had a good old chat at the front one even deciding it was time to snooze for a 700 dollar 45 minute flight we should get better we just seem to be an inconvenience as passengers and no one cares that an extra 1 hour on the ground in a unclean aircraft terrible and not worth the money
1292,review   gatwick to paphos chaos at check in as another system failure leg room was shocking for a 4 hour flight definately a low cost airline now no food drink ife and paying for luggage long haul ba has barely maintained its standards but short haul british airways has become a disgrace
1293,review   unimpressed service very indifferent impression that its only a job by flight crew with no smiles on this flight perfunctory service at best guess this maybe all you can expect when you fly economy british airways calls their economy world traveller i wonder if those at the top making decisions have travelled the world and are aware of the much superior service most other airlines offer even in economy ba take a page from qantas to see what economy service looks like my understanding is ba recently lost a star and are now only 3 stars quite understandable from what was offered on this flight food awful dinner of chicken rice and peas breakfast over ireland was a cream filled bun and granola bars awful even a recent united flight from syd to sfo served better meals no return of crew to offer more beverages and no service of water during the flight which most airlines constantly offer the wine offering was the best part a reasonably good spanish pinot gris there are alternatives to the uk from canada air canada air transat westjet on westjet you purchase your food but im sure it has to be superior to bas offering my last flight to britain on air canada was much superior air france last october to paris was excellent qantas to australia is always brilliant the only redeeming factor on this flight was the airbus 380 still the smoothest and quietest plane flying apparently british airways ceo is an accountant and the bean counting shows in the service and food quality offered service on my flight was budget airline service at best and should be an embarrassment to britains flag carrier
